"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorLevenshtein record1Value","[0] BookTitleComparatorLevenshtein record2Value","[0] BookTitleComparatorLevenshtein record1PreprocessedValue","[0] BookTitleComparatorLevenshtein record2PreprocessedValue","[0] BookTitleComparatorLevenshtein similarity","[0] BookTitleComparatorLevenshtein postproccesedSimilarity","[1] BookAuthorComparatorMongeElkan record1Value","[1] BookAuthorComparatorMongeElkan record2Value","[1] BookAuthorComparatorMongeElkan record1PreprocessedValue","[1] BookAuthorComparatorMongeElkan record2PreprocessedValue","[1] BookAuthorComparatorMongeElkan similarity","[1] BookAuthorComparatorMongeElkan postproccesedSimilarity"
"LinearCombinationMatchingRule","Amazon_4638","Covers_2064","0.48763636363636365",,"The Fault in Our Stars","The Face of Battle","The Fault in Our Stars","The Face of Battle","0.40909090909090906","0.40909090909090906","John Green","John Keegan","John Green","John Keegan","0.54","0.54"
"LinearCombinationMatchingRule","Amazon_22056","Covers_15344","0.296",,"North American XB-70 Valkyrie","Northwest Indians (An Educational Coloring Book Ser)","North American XB-70 Valkyrie","Northwest Indians (An Educational Coloring Book Ser)","0.2692307692307693","0.0","Peter E. Davies","Peter M. Spizzirri","Peter E. Davies","Peter M. Spizzirri","0.49333333333333335","0.49333333333333335"
"LinearCombinationMatchingRule","Amazon_15475","Covers_41958","0.0",,"How to be Alone","How to Start, Finance, and Manage Your Own Small Business","How to be Alone","How to Start, Finance, and Manage Your Own Small Business","0.22807017543859653","0.0","Jonathan Franzen","Joseph R. Mancuso","Jonathan Franzen","Joseph R. Mancuso","0.15","0.0"
"LinearCombinationMatchingRule","Amazon_11970","Covers_1941","0.0",,"The Fran Lebowitz Reader","The Freedom Writers Diary : How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them","The Fran Lebowitz Reader","The Freedom Writers Diary : How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them","0.16521739130434787","0.0","Fran Lebowitz","Freedom Writers","Fran Lebowitz","Freedom Writers","0.2","0.0"
"LinearCombinationMatchingRule","Amazon_20351","Covers_42428","0.13548387096774195",,"Building Construction Handbook","Building Trust: In Business, Politics, Relationships, and Life","Building Construction Handbook","Building Trust: In Business, Politics, Relationships, and Life","0.33870967741935487","0.33870967741935487","Roy Chudley","Robert C. Solomon","Roy Chudley","Robert C. Solomon","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Amazon_7090","Covers_3306","0.15555555555555556",,"Still Life","Still Woman Enough","Still Life","Still Woman Enough","0.38888888888888884","0.38888888888888884","Louise Penny","Loretta Lynn","Louise Penny","Loretta Lynn","0.2","0.0"
"LinearCombinationMatchingRule","Amazon_13585","Covers_3995","0.6",,"A Return to Love","A Return to Love: Reflections on the Principles of \A Course in Miracles\""""","A Return to Love","A Return to Love: Reflections on the Principles of \A Course in Miracles\""""","0.21333333333333337","0.0","Marianne Williamson","Marianne Williamson","Marianne Williamson","Marianne Williamson","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_3069","Covers_1179","0.8705882352941177",,"Seven Pillars of Wisdom","Seven Pillars of Wisdom: A Triumph","Seven Pillars of Wisdom","Seven Pillars of Wisdom: A Triumph","0.6764705882352942","0.6764705882352942","T. E. Lawrence","T. E. Lawrence","T. E. Lawrence","T. E. Lawrence","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_15475","Covers_41951","0.0",,"How to be Alone","How to Draw the Human Figure (Watson-Guptill Artist's Library)","How to be Alone","How to Draw the Human Figure (Watson-Guptill Artist's Library)","0.19354838709677424","0.0","Jonathan Franzen","Jose Maria Parramon","Jonathan Franzen","Jose Maria Parramon","0.2","0.0"
"LinearCombinationMatchingRule","Amazon_10868","Covers_24845","0.7647058823529411",,"Garfield Fat Cat 3 Pack (Vol 1)","Garfield's Big Fat Hairy Joke Book","Garfield Fat Cat 3 Pack (Vol 1)","Garfield's Big Fat Hairy Joke Book","0.4117647058823529","0.4117647058823529","Jim Davis","Jim Davis","Jim Davis","Jim Davis","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_17856","Covers_40113","0.0",,"The Strange Case of Dr Jekyll and Mr Hyde and Other Tales of Terror","The student's companion to the USA (Sprachen der Welt)","The Strange Case of Dr Jekyll and Mr Hyde and Other Tales of Terror","The student's companion to the USA (Sprachen der Welt)","0.28358208955223885","0.0","Robert Louis Stevenson","Roswitha Sieper","Robert Louis Stevenson","Roswitha Sieper","0.26666666666666666","0.0"
"LinearCombinationMatchingRule","Amazon_15125","Covers_3715","0.7222222222222222",,"The Tempest","The Tempest (Classics Library (NTC))","The Tempest","The Tempest (Classics Library (NTC))","0.3055555555555556","0.3055555555555556","William Shakespeare","William Shakespeare","William Shakespeare","William Shakespeare","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_15226","Covers_1767","0.7754545454545454",,"Harry Potter and the Order of the Phoenix","Harry Potter and the Prisoner of Azkaban (Harry Potter)","Harry Potter and the Order of the Phoenix","Harry Potter and the Prisoner of Azkaban (Harry Potter)","0.5636363636363637","0.5636363636363637","J. K. Rowling","J.K. Rowling","J. K. Rowling","J.K. Rowling","0.9166666666666666","0.9166666666666666"
"LinearCombinationMatchingRule","Amazon_5795","Covers_17276","0.312",,"Dragon Age: Magekiller","Dragonlance Classics, Vol. 3 (Advanced Dungeons &amp; Dragons module DLC3)","Dragon Age: Magekiller","Dragonlance Classics, Vol. 3 (Advanced Dungeons &amp; Dragons module DLC3)","0.21621621621621623","0.0","Greg Rucka","Grubb","Greg Rucka","Grubb","0.52","0.52"
"LinearCombinationMatchingRule","Amazon_15084","Covers_49247","0.46237762237762237",,"Paradise Lost","Paradise Wild","Paradise Lost","Paradise Wild","0.6923076923076923","0.6923076923076923","John Milton","Johanna Lindsey","John Milton","Johanna Lindsey","0.3090909090909091","0.3090909090909091"
"LinearCombinationMatchingRule","Amazon_22104","Covers_42234","0.18666666666666668",,"Blackburn Buccaneer Manual","Black Hawk Down: The Shooting Script (Newmarket Shooting Script Series)","Blackburn Buccaneer Manual","Black Hawk Down: The Shooting Script (Newmarket Shooting Script Series)","0.18309859154929575","0.0","Keith Wilson","Ken Nolan","Keith Wilson","Ken Nolan","0.3111111111111111","0.3111111111111111"
"LinearCombinationMatchingRule","Amazon_17759","Covers_6301","0.5204705882352941",,"A Game of Thrones (HBO Tie-In Edition)","A Game of Thrones (A Song of Ice and Fire, Book 1)","A Game of Thrones (HBO Tie-In Edition)","A Game of Thrones (A Song of Ice and Fire, Book 1)","0.56","0.56","George R R Martin","George R.R. Martin","George R R Martin","George R.R. Martin","0.49411764705882355","0.49411764705882355"
"LinearCombinationMatchingRule","Amazon_16605","Covers_30764","0.7876923076923077",,"Zen And The Art Of Motorcycle Maintenance","Zen and the Art of Motorcycle Maintenance: An Inquiry into Values","Zen And The Art Of Motorcycle Maintenance","Zen and the Art of Motorcycle Maintenance: An Inquiry into Values","0.6307692307692307","0.6307692307692307","Robert M. Pirsig","ROBERT PIRSIG","Robert M. Pirsig","ROBERT PIRSIG","0.8923076923076924","0.8923076923076924"
"LinearCombinationMatchingRule","Amazon_10396","Covers_4179","0.92",,"Dragon Ball Super, Vol. 1","Dragon Ball Z, Vol. 1","Dragon Ball Super, Vol. 1","Dragon Ball Z, Vol. 1","0.8","0.8","Akira Toriyama","Akira Toriyama","Akira Toriyama","Akira Toriyama","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_17105","Covers_538","0.7377049180327869",,"The Gormenghast Trilogy","The Gormenghast Novels: Titus Groan, Gormenghast, Titus Alone","The Gormenghast Trilogy","The Gormenghast Novels: Titus Groan, Gormenghast, Titus Alone","0.34426229508196726","0.34426229508196726","Mervyn Peake","Mervyn Peake","Mervyn Peake","Mervyn Peake","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_15387","Covers_2453","0.5087108013937283",,"The Collected Poems of William Wordsworth","The Confessions of Nat Turner","The Collected Poems of William Wordsworth","The Confessions of Nat Turner","0.41463414634146345","0.41463414634146345","William Wordsworth","William Styron","William Wordsworth","William Styron","0.5714285714285714","0.5714285714285714"
"LinearCombinationMatchingRule","Amazon_4999","Covers_24106","0.7478260869565218",,"The Secret Garden","The Secret Garden (Illustrated Junior Library)","The Secret Garden","The Secret Garden (Illustrated Junior Library)","0.3695652173913043","0.3695652173913043","Frances Hodgson Burnett","Frances Hodgson Burnett","Frances Hodgson Burnett","Frances Hodgson Burnett","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_17668","Covers_6356","0.7666666666666666",,"A Storm of Swords: Part 1 Steel and Snow","A Storm of Swords (A Song of Ice and Fire, Book 3)","A Storm of Swords: Part 1 Steel and Snow","A Storm of Swords (A Song of Ice and Fire, Book 3)","0.5","0.5","George R. R. Martin","GEORGE R.R. MARTIN","George R. R. Martin","GEORGE R.R. MARTIN","0.9444444444444444","0.9444444444444444"
"LinearCombinationMatchingRule","Amazon_3989","Covers_5498","0.819047619047619",,"The Communist Manifesto","The Communist Manifesto (Penguin Classics)","The Communist Manifesto","The Communist Manifesto (Penguin Classics)","0.5476190476190477","0.5476190476190477","Karl Marx","Karl Marx","Karl Marx","Karl Marx","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_13461","Covers_33750","0.14857142857142858",,"The Rory's Stories Guide to the GAA","The Road to Gandolfo","The Rory's Stories Guide to the GAA","The Road to Gandolfo","0.37142857142857144","0.37142857142857144","Rory O'Connor","Robert Ludlum","Rory O'Connor","Robert Ludlum","0.15384615384615385","0.0"
"LinearCombinationMatchingRule","Amazon_17167","Covers_12417","0.0",,"Shadowfever","Shadows in the Water (A Starbuck Family Adventure)","Shadowfever","Shadows in the Water (A Starbuck Family Adventure)","0.19999999999999996","0.0","Karen Marie Moning","Kathryn Lasky","Karen Marie Moning","Kathryn Lasky","0.2153846153846154","0.0"
"LinearCombinationMatchingRule","Amazon_18123","Covers_11669","0.0",,"The First Law Trilogy Boxed Set","The Field","The First Law Trilogy Boxed Set","The Field","0.25806451612903225","0.0","Joe Abercrombie","John B. Keane","Joe Abercrombie","John B. Keane","0.15384615384615385","0.0"
"LinearCombinationMatchingRule","Amazon_21199","Covers_12084","0.7806451612903226",,"How to Draw People","How To Draw Sea Creatures - Pbk","How to Draw People","How To Draw Sea Creatures - Pbk","0.4516129032258065","0.4516129032258065","Barbara Soloff-Levy","Barbara Soloff-Levy","Barbara Soloff-Levy","Barbara Soloff-Levy","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_1732","Covers_16340","0.28363636363636363",,"The Encyclopedia Of Country Living, 40th Anniversary Edition","The Enchanted Hill: The story of Hearst Castle at San Simeon","The Encyclopedia Of Country Living, 40th Anniversary Edition","The Enchanted Hill: The story of Hearst Castle at San Simeon","0.2833333333333333","0.0","Carla Emery","Carleton M Winslow","Carla Emery","Carleton M Winslow","0.4727272727272727","0.4727272727272727"
"LinearCombinationMatchingRule","Amazon_2921","Covers_2682","0.2",,"Letters to a Young Contrarian","Letters to Karen (Abingdon Classics)","Letters to a Young Contrarian","Letters to Karen (Abingdon Classics)","0.5","0.5","Christopher Hitchens","Charlei W. Shedd","Christopher Hitchens","Charlei W. Shedd","0.1625","0.0"
"LinearCombinationMatchingRule","Amazon_7611","Covers_16010","0.4444444444444444",,"The Visitor","The Victory Garden","The Visitor","The Victory Garden","0.4444444444444444","0.4444444444444444","Lee Child","Lee Kochenderfer","Lee Child","Lee Kochenderfer","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","Amazon_3688","Covers_9232","0.3428571428571428",,"The Seven Habits of Highly Effective People, Miniature Edition","The Second Saladin","The Seven Habits of Highly Effective People, Miniature Edition","The Second Saladin","0.20967741935483875","0.0","Stephen R. Covey","Stephen Hunter","Stephen R. Covey","Stephen Hunter","0.5714285714285714","0.5714285714285714"
"LinearCombinationMatchingRule","Amazon_18270","Covers_217","0.36923076923076925",,"The Hobbit","The Hobbit : The Enchanting Prelude to The Lord of the Rings","The Hobbit","The Hobbit : The Enchanting Prelude to The Lord of the Rings","0.16666666666666663","0.0","J R R Tolkien","J.R.R. TOLKIEN","J R R Tolkien","J.R.R. TOLKIEN","0.6153846153846154","0.6153846153846154"
"LinearCombinationMatchingRule","Amazon_9692","Covers_5657","0.0",,"The Cook's Apprentice","The Collected Poems of Stanley Kunitz","The Cook's Apprentice","The Collected Poems of Stanley Kunitz","0.29729729729729726","0.0","Stephanie Alexander","Stanley Kunitz","Stephanie Alexander","Stanley Kunitz","0.21428571428571427","0.0"
"LinearCombinationMatchingRule","Amazon_7146","Covers_1733","0.808",,"The Picture of Dorian Gray","The Picture of Dorian Gray (Dover Thrift Editions)","The Picture of Dorian Gray","The Picture of Dorian Gray (Dover Thrift Editions)","0.52","0.52","Oscar Wilde","Oscar Wilde","Oscar Wilde","Oscar Wilde","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_22670","Covers_19802","0.7035897435897436",,"Italian Idioms","Italian Idioms (Barron's Idioms Series)","Italian Idioms","Italian Idioms (Barron's Idioms Series)","0.3589743589743589","0.3589743589743589","Daniella Gobetti","Daniela Gobetti","Daniella Gobetti","Daniela Gobetti","0.9333333333333333","0.9333333333333333"
"LinearCombinationMatchingRule","Amazon_11047","Covers_37210","0.16842105263157894",,"The First Six Weeks","The Fifth Ring","The First Six Weeks","The Fifth Ring","0.42105263157894735","0.42105263157894735","Midwife Cath","Mitchell Graham","Midwife Cath","Mitchell Graham","0.21666666666666667","0.0"
"LinearCombinationMatchingRule","Amazon_1604","Covers_45670","0.19636363636363635",,"The Biology Coloring Book","The Big Book of B Movies, Or, How Low Was My Budget","The Biology Coloring Book","The Big Book of B Movies, Or, How Low Was My Budget","0.27450980392156865","0.0","Robert D. Griffin","Robin Cross","Robert D. Griffin","Robin Cross","0.32727272727272727","0.32727272727272727"
"LinearCombinationMatchingRule","Amazon_17876","Covers_36053","0.6",,"Frankenstein","FRANKENSTEIN (B&amp;N Classics Mass Market)","Frankenstein","FRANKENSTEIN (B&amp;N Classics Mass Market)","0.2790697674418605","0.0","Mary Wollstonecraft Shelley","Mary Wollstonecraft Shelley","Mary Wollstonecraft Shelley","Mary Wollstonecraft Shelley","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_4724","Covers_4402","0.75",,"Clifford the Big Red Dog","Clifford, the Big Red Dog (Clifford the Big Red Dog (Paperback))","Clifford the Big Red Dog","Clifford, the Big Red Dog (Clifford the Big Red Dog (Paperback))","0.375","0.375","Norman Bridwell","Norman Bridwell","Norman Bridwell","Norman Bridwell","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_2266","Covers_14114","0.18823529411764706",,"The Golden Thread","The Good Children","The Golden Thread","The Good Children","0.47058823529411764","0.47058823529411764","Kassia St Clair","Kate Wilhelm","Kassia St Clair","Kate Wilhelm","0.16666666666666666","0.0"
"LinearCombinationMatchingRule","Amazon_20863","Covers_8501","0.0",,"The Raven Cycle #1: The Raven Boys","The Rainbow Fish","The Raven Cycle #1: The Raven Boys","The Rainbow Fish","0.2647058823529411","0.0","Maggie Stiefvater","Marcus Pfister","Maggie Stiefvater","Marcus Pfister","0.21428571428571427","0.0"
